id,datetime,created_at,text,file,twitter_handle,name
976606422157885440,2018-03-21 23:48:10,21-03-2018 23:48:10,👍🏻🇧🇷👍🏻 https://t.co/KwK8FUia5t,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
976236114720772097,2018-03-20 23:16:41,20-03-2018 23:16:41,Meu aniversário é amanhã mas hoje recebi uma grande surpresa da Lilian. Obrigado pelo presente e pela consideração! Um forte abraço! https://t.co/6JAS2FSs4A,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
976206156673806336,2018-03-20 21:17:39,20-03-2018 21:17:39,IRMÃOS DE IDEAIS E MUITA GENTE ACREDITA QUE ISSO NÃO EXISTE! Venezuela dá calote em dívida com BNDES e União assume pagamento de quase R$1 bilhão usando seu dinheiro. https://t.co/FQ5LKIvbHS,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
976148698198691842,2018-03-20 17:29:20,20-03-2018 17:29:20,"Projeto Pensar Brasil: iniciativa do Deputado Federal @BolsonaroSP ,que desde 2017, convida profissionais de diversas áreas para explanar possíveis soluções na vida do brasileiro. Tema da vez: SEGURANÇA PÚBLICA com General Heleno e @MajorVitorHugo . https://t.co/AqY7p2gyaj",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
976038965814972416,2018-03-20 10:13:18,20-03-2018 10:13:18,Juca Kfouri é condenado por agressões verbais contra Jair Bolsonaro (cabe recurso). Por Fernanda Salles. https://t.co/MPreIQxQ3i,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
975843778970963968,2018-03-19 21:17:41,19-03-2018 21:17:41,"Peço ler a matéria onde Mailson, que me critica, na verdade mostra por A+B porque o Brasil nunca deu certo. Obrigado Sr. Mailson por tão esclarecedora matéria. Comente! https://t.co/zQJ0K1oDeb",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
975690681846042624,2018-03-19 11:09:20,19-03-2018 11:09:20,"Desde quando a Aeronáutica passou a apoiar transporte órgãos, nos últimos 10 meses 476 fígados, corações, rins, pâncreas, pulmões, baços, ... salvaram vidas. Parabéns Forças Armadas. https://t.co/WVtAlzPpmS",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
975475476197240837,2018-03-18 20:54:11,18-03-2018 20:54:11,"Ao Grande @RenzoGracieBJJ , grato pela consideração. https://t.co/T7gze7XTmw",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
975362410897788928,2018-03-18 13:24:54,18-03-2018 13:24:54,Bom Domingo a todos! https://t.co/4q6K6eySpY,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
975105289186893824,2018-03-17 20:23:12,17-03-2018 20:23:12,PESQUISA INTENÇÃO DE VOTOS: MATO GROSSO DO SUL https://t.co/UkCHq1iBoz,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974968274852118528,2018-03-17 11:18:45,17-03-2018 11:18:45,Cientistas descobrem do leite do ornitorrinco proteína capaz de combater superbactérias. Em nossa viagem à Ásia o interesse pela biodiversidade Amazônica se fez presente.,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974937620395577344,2018-03-17 09:16:56,17-03-2018 09:16:56,"Nos Estados Unidos criança pode trabalhar, já no Brasil... https://t.co/f7Tidz5WJN",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974775529248317447,2018-03-16 22:32:51,16-03-2018 22:32:51,Boa noite 👍🏻.,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974637024656445440,2018-03-16 13:22:29,16-03-2018 13:22:29,O produtor rural e a fusão dos ministérios da Agricultura e Meio Ambiente proposto por Jair Bolsonaro. https://t.co/yP2QGHOmmq,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974432990267928577,2018-03-15 23:51:43,15-03-2018 23:51:43,Grato pela consideração!!! 👍🏻 https://t.co/F3Epnzwfww,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974375502290083842,2018-03-15 20:03:17,15-03-2018 20:03:17,"A desonestidade de alguns beira o absurdo. Digo ""campo de refugiados"", eles traduzem ""campo de concentração."" https://t.co/Rl9XjVvTls",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974364420028747778,2018-03-15 19:19:15,15-03-2018 19:19:15,TV ESTADÃO: https://t.co/nDooLLByQZ,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
974036688648491008,2018-03-14 21:36:57,14-03-2018 21:36:57,Mais um dia recebendo pessoas de todo o nosso Brasil. Muito obrigado pela consideração! 👍🏻 https://t.co/pjObzQjibt,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
973880465991008256,2018-03-14 11:16:11,14-03-2018 11:16:11,"A fusão dos ministérios da Agricultura e Meio Ambiente coloca um fim na indústria das multas, bem como leva harmonia ao campo. Vale lembrar que seu titular seria indicado pelas entidades dos produtores.",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
973856348076158976,2018-03-14 09:40:21,14-03-2018 09:40:21,"Assista a completa transmissão, que foi feita ao vivo, em nosso canal no youtube (Jair Bolsonaro). https://t.co/n2QE7Amn5P",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
973547101136277510,2018-03-13 13:11:31,13-03-2018 13:11:31,"- Traficantes ditam normas na escola.

- ""Fumar maconha, aqui não!""

- O Brasil tem jeito? Como? Comente: https://t.co/GlBdgkQ6xq",../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
973526651157073920,2018-03-13 11:50:15,13-03-2018 11:50:15,1.000.000 (grato pela consideração)! https://t.co/FHheOZNm9w,../data/bases-completas/jairbolsonaro.csv,jairbolsonaro,Jair Bolsonaro
