id,datetime,created_at,text
986727262300057601,2018-04-18 22:04:46,18-04-2018 22:04:46,"Independente das circunstâncias, estarei sempre à disposição do meu país. https://t.co/aKzOQOtTfA"
986650223362617349,2018-04-18 16:58:38,18-04-2018 16:58:38,"""Temos que manter o Brasil e a economia caminhando na direção correta. Não há nada mágico, vamos retomar a reforma da Previdência, acelerar programas de infraestrutura e lançar a reforma tributária."" - @infomoney 

https://t.co/P7dQiT7yes"
986366543612334085,2018-04-17 22:11:24,17-04-2018 22:11:24,"Foi muito bom visitar a @tecnoshowcomigo e conversar com os produtores rurais. O setor do agronegócio é produtivo, unido, inovador e representa o que o Brasil tem de melhor. 

Soube que a feira, este ano, cresceu 47% em volume de negócios. Um ótimo sinal para a nossa economia. https://t.co/izzO6hbApK"
986289946121076738,2018-04-17 17:07:02,17-04-2018 17:07:02,https://t.co/SgRusez20R
986234768718151684,2018-04-17 13:27:46,17-04-2018 13:27:46,"O debate político contaminado por posições extremas só é bom para quem se alimenta dessa polarização. Já para o país, isso é muito ruim porque deixa em segundo plano aquilo que é o essencial: os problemas reais das pessoas e o que precisa ser feito para solucioná-los. https://t.co/foE6dJhgMD"
985971303680233477,2018-04-16 20:00:51,16-04-2018 20:00:51,"Os populistas dizem: não é preciso reformar a previdência

A realidade: o país quebra, no médio prazo, se a reforma não for feita

Os populistas dizem: não é preciso reduzir a despesa pública

A realidade: todas as crises no Brasil ocorreram por descontrole dos gastos do governo"
985867302213226496,2018-04-16 13:07:36,16-04-2018 13:07:36,O aumento da produtividade é uma das coisas mais importantes que o Brasil precisa buscar. Mas o que isso significa? A resposta no vídeo. https://t.co/tm2JGVld2R
985526269499641856,2018-04-15 14:32:27,15-04-2018 14:32:27,"Menos discurso, mais resultados. https://t.co/35IuHGLE2t"
985296447871561728,2018-04-14 23:19:13,14-04-2018 23:19:13,"""Tenho resultado concreto para mostrar. As pessoas estão cansadas de falatório. Entramos no governo na maior recessão da história. O Brasil saiu da recessão, está crescendo, criando empregos, a inflação é a mais baixa em 20 anos."" - @Estadao 

https://t.co/wBRvXpL9cU"
985150944265502720,2018-04-14 13:41:02,14-04-2018 13:41:02,"Um comparativo da situação da economia ao assumirmos o Ministério da Fazenda em maio de 2016 e de como está hoje após 22 meses de trabalho duro.

Em um curto período vencemos a crise, aprovamos reformas e colocamos o país no rumo certo. O Brasil precisa seguir por esse caminho! https://t.co/oRKz0HzD75"
984840581867327488,2018-04-13 17:07:46,13-04-2018 17:07:46,https://t.co/HOqlw1vTz0
984785533028139008,2018-04-13 13:29:02,13-04-2018 13:29:02,"Em 2002, comecei minha campanha a Deputado Federal pela cidade de Rio Verde em Goiás.

Dezesseis anos depois, recebi a mesma energia e carinho para o início de uma nova caminhada. 

OBRIGADO RIO VERDE! https://t.co/LUsIm047PI"
984517468277395458,2018-04-12 19:43:50,12-04-2018 19:43:50,"""Nós precisamos ter certeza que o Brasil não vai voltar atrás. Nós temos que seguir em frente, de fato, com uma política de modernização da economia"" - @RBandeirantes - @DatenaOficial https://t.co/d2uNyyiHqv"
984234244615614466,2018-04-12 00:58:24,12-04-2018 00:58:24,"Hoje, fiz a transmissão do cargo para o novo ministro da Fazenda, Eduardo Guardia. 

Sempre defini como prioridade ao assumir qualquer função,deixar alguém preparado para assumir o meu posto. E desta vez, não foi diferente. 

Sucesso à equipe! https://t.co/HhZJHeDWjX"
984159116389158912,2018-04-11 19:59:52,11-04-2018 19:59:52,https://t.co/oig2rVpDfY
984069283943677952,2018-04-11 14:02:55,11-04-2018 14:02:55,"Os extremos na política são muito parecidos, mais do que aparentam. 

No Brasil, basta observar suas posturas que inviabilizam o diálogo com quem pensa diferente, além de posições idênticas sobre reformas fundamentais para o país, como a da Previdência. 

#FórumDaLiberdade https://t.co/KGjBwy16U0"
983805274208329728,2018-04-10 20:33:50,10-04-2018 20:33:50,"Esses 3 jovens, estudantes de economia, estão engajados em nossa causa de modernizar o Brasil e até produziram o seu próprio material de apoio.

Valeu Flávio, Luiz e Rogério. https://t.co/jiKtloTAtD"
983691892444581889,2018-04-10 13:03:17,10-04-2018 13:03:17,https://t.co/JTZKdaj6ZR
983474202635390976,2018-04-09 22:38:16,09-04-2018 22:38:16,"Participo agora de debate no Fórum da Liberdade com outros pré-candidatos à presidência do Brasil. 

Acompanhe ao vivo: https://t.co/vPo3nTOv4c 

#ForumDaLiberdade https://t.co/g9Ftd3y78s"
983439146961252353,2018-04-09 20:18:58,09-04-2018 20:18:58,"Foi muito bom estar com o setor produtivo gaúcho dialogando sobre o futuro do Rio Grande e do Brasil.

O estado tem tomado medidas na direção certa sob a liderança do governador @JoseIvoSartori e já começa a vencer a crise.

Agradeço a calorosa recepção. https://t.co/jpkNNc3aHQ"
983101333610942464,2018-04-08 21:56:37,08-04-2018 21:56:37,https://t.co/cWjFKpwYQ6
982982959744602112,2018-04-08 14:06:15,08-04-2018 14:06:15,"Os 22 meses de trabalho no Ministério da Fazenda foram intensos e gratificantes. Corrigimos os erros da política econômica do governo anterior, aprovamos reformas que o Brasil necessitava há décadas e tiramos o país da pior recessão da sua história.

Os resultados falam por si. https://t.co/h2HOf0gJ2x"
982347263522422784,2018-04-06 20:00:13,06-04-2018 20:00:13,"Não existem atalhos. O que existe é trabalho duro e a política certa aplicada de forma consistente durante um longo tempo.

Muito obrigado e vamos em frente!"
982347260649443328,2018-04-06 20:00:12,06-04-2018 20:00:12,"Inicio, agora, uma nova etapa que construirei ao lado dos brasileiros que desejam bom senso, equilíbrio e competência na gestão pública. Me ofereço como um porta voz dos anseios de todos que têm consciência de que o extremismo e o populismo não levarão o Brasil a lugar nenhum."
982347258170494976,2018-04-06 20:00:12,06-04-2018 20:00:12,"Agradeço de coração a toda nossa equipe pela entrega e dedicação. De fato, vocês são um verdadeiro ""dream team""."
982347255268048896,2018-04-06 20:00:11,06-04-2018 20:00:11,"O país caminha na direção certa. Voltou a crescer, gerar empregos, tudo isso com inflação baixa e os menores juros da história. Mas ainda há muito por fazer. É preciso seguir mudando as estruturas na economia e demais áreas para que nos tornemos a nação que tanto sonhamos."
982347020416335872,2018-04-06 19:59:15,06-04-2018 19:59:15,Deixo hoje o Ministério da Fazenda com a sensação de dever cumprido. Foram meses de muito trabalho onde tiramos o Brasil da sua mais grave crise e construímos as bases para um forte crescimento nos próximos anos.
