id,datetime,created_at,text
982411284892274688,2018-04-07 00:14:37,07-04-2018 00:14:37,Publiquei comunicado em minha página no Facebook(Joaquim Barbosa Gomes)
886793102450724864,2017-07-17 03:42:06,17-07-2017 03:42:06,Reinventar o Brasil https://t.co/zfGmMcf8k4
872662521328611329,2017-06-08 03:52:13,08-06-2017 03:52:13,O TSE pode fazer de conta que a Lava Jato não existe? - JOTA https://t.co/jwhH3QUweN
869259388028157952,2017-05-29 18:29:22,29-05-2017 18:29:22,Diretas talvez fossem uma lufada de ar fresco https://t.co/8IIt6uX2Fe
866891409697243136,2017-05-23 05:39:52,23-05-2017 05:39:52,RT @abranches: Difícil encontrar saída boa para a crise política: https://t.co/FJpu4pEwxO
865480942713847810,2017-05-19 08:15:11,19-05-2017 08:15:11,"Não há outra saída: os brasileiros devem se mobilizar, ir para as ruas e reivindicar com força:  a renúncia imediata de Michel Temer."
865479759525953537,2017-05-19 08:10:29,19-05-2017 08:10:29,"Agora vieram a público as estarrecedoras revelações do sr Joesley Batista sobre o mesmo personagem, Temer. São fatos gravíssimos."
865477714785980416,2017-05-19 08:02:21,19-05-2017 08:02:21,"Nada aconteceu, não é mesmo? Líderes políticos, empresariais, parte da mídia se incumbiram de minimizar a gravidade dos fatos"
865476993046855683,2017-05-19 07:59:29,19-05-2017 07:59:29,"o Palácio do Jaburu para pedir propina a um empresário, seria um motivo forte o bastante para se desencadear um clamor pela sua renúncia"
865476190588370945,2017-05-19 07:56:18,19-05-2017 07:56:18,"Isoladamente, a notícia extraída de um inquérito criminal e veiculada há poucas semanas, de que o sr Michel Temer usou"
861314570668969984,2017-05-07 20:19:30,07-05-2017 20:19:30,"É grande o risco de uma ""coabitação"": a coexistência institucional  entre um presidente e um gabinete de orientações políticas distintas."
861313738506477569,2017-05-07 20:16:12,07-05-2017 20:16:12,O segundo obstáculo: é altamente incerto se conseguirá eleger uma maioria nas eleições legislativas de junho próximo.
861313110401064960,2017-05-07 20:13:42,07-05-2017 20:13:42,"Mas é um jovem inteligente, muito preparado. Aprenderá rapidamente."
861312729797320704,2017-05-07 20:12:11,07-05-2017 20:12:11,a) a pouca experiência em questões de Estado. A gravidade da sua expressão facial no momento do discurso da vitória diz tudo...
861312292981440513,2017-05-07 20:10:27,07-05-2017 20:10:27,"A meu ver, terá 2 grandes dificuldades:"
861312053381914627,2017-05-07 20:09:30,07-05-2017 20:09:30,"Elegeu-se sob a bandeira de um ""movimento"" que ele próprio criou há 1 ano. Até o fim de 2016, ninguém apostaria em sua vitória."
861311382901469184,2017-05-07 20:06:50,07-05-2017 20:06:50,"Independente, avesso aos velhos e carcomidos partidos políticos, ousado, E Macron era há 3 anos um simples assessor da presidência francesa"
861310851235622913,2017-05-07 20:04:43,07-05-2017 20:04:43,"Elegeu à presidência da República, como era esperado, um jovem de apenas 39 anos de idade."
861310453565227008,2017-05-07 20:03:09,07-05-2017 20:03:09,"E não é que essa ""vieille nation"" subitamente resolveu inovar?"
861310159515267073,2017-05-07 20:01:59,07-05-2017 20:01:59,"Uma ""velha nação"", como amam dizer os franceses,  ciosos do papel histórico que o país teve na  formatação institucional do ocidente."
861309001979580416,2017-05-07 19:57:23,07-05-2017 19:57:23,"Quinta/sexta economia mundial, a França é uma das mais antigas e sólidas democracias do planeta, abalada pelos efeitos da globalização"
861308333017501698,2017-05-07 19:54:43,07-05-2017 19:54:43,"Faço-o em razão do conhecidos laços que me unem àquele país. Lá vivi muitos anos, lá tive fiz uma parte importante da minha formação."
