id,datetime,created_at,text
976606422157885440,2018-03-21 23:48:10,21-03-2018 23:48:10,👍🏻🇧🇷👍🏻 https://t.co/KwK8FUia5t
976236114720772097,2018-03-20 23:16:41,20-03-2018 23:16:41,Meu aniversário é amanhã mas hoje recebi uma grande surpresa da Lilian. Obrigado pelo presente e pela consideração! Um forte abraço! https://t.co/6JAS2FSs4A
976206156673806336,2018-03-20 21:17:39,20-03-2018 21:17:39,IRMÃOS DE IDEAIS E MUITA GENTE ACREDITA QUE ISSO NÃO EXISTE! Venezuela dá calote em dívida com BNDES e União assume pagamento de quase R$1 bilhão usando seu dinheiro. https://t.co/FQ5LKIvbHS
976148698198691842,2018-03-20 17:29:20,20-03-2018 17:29:20,"Projeto Pensar Brasil: iniciativa do Deputado Federal @BolsonaroSP ,que desde 2017, convida profissionais de diversas áreas para explanar possíveis soluções na vida do brasileiro. Tema da vez: SEGURANÇA PÚBLICA com General Heleno e @MajorVitorHugo . https://t.co/AqY7p2gyaj"
976038965814972416,2018-03-20 10:13:18,20-03-2018 10:13:18,Juca Kfouri é condenado por agressões verbais contra Jair Bolsonaro (cabe recurso). Por Fernanda Salles. https://t.co/MPreIQxQ3i
975843778970963968,2018-03-19 21:17:41,19-03-2018 21:17:41,"Peço ler a matéria onde Mailson, que me critica, na verdade mostra por A+B porque o Brasil nunca deu certo. Obrigado Sr. Mailson por tão esclarecedora matéria. Comente! https://t.co/zQJ0K1oDeb"
975690681846042624,2018-03-19 11:09:20,19-03-2018 11:09:20,"Desde quando a Aeronáutica passou a apoiar transporte órgãos, nos últimos 10 meses 476 fígados, corações, rins, pâncreas, pulmões, baços, ... salvaram vidas. Parabéns Forças Armadas. https://t.co/WVtAlzPpmS"
975475476197240837,2018-03-18 20:54:11,18-03-2018 20:54:11,"Ao Grande @RenzoGracieBJJ , grato pela consideração. https://t.co/T7gze7XTmw"
975362410897788928,2018-03-18 13:24:54,18-03-2018 13:24:54,Bom Domingo a todos! https://t.co/4q6K6eySpY
975105289186893824,2018-03-17 20:23:12,17-03-2018 20:23:12,PESQUISA INTENÇÃO DE VOTOS: MATO GROSSO DO SUL https://t.co/UkCHq1iBoz
974968274852118528,2018-03-17 11:18:45,17-03-2018 11:18:45,Cientistas descobrem do leite do ornitorrinco proteína capaz de combater superbactérias. Em nossa viagem à Ásia o interesse pela biodiversidade Amazônica se fez presente.
974937620395577344,2018-03-17 09:16:56,17-03-2018 09:16:56,"Nos Estados Unidos criança pode trabalhar, já no Brasil... https://t.co/f7Tidz5WJN"
974775529248317447,2018-03-16 22:32:51,16-03-2018 22:32:51,Boa noite 👍🏻.
974769338593968129,2018-03-16 22:08:15,16-03-2018 22:08:15,RT @CarlosBolsonaro: É surreal! Mais um pai assassinado se torna mais um em meio a mais de 60 mil assassinados por ano (índices maiores que…
